zona,enderecos_lista,aluguel,area,quartos
norte,"Avenida João Paulo Ii, Jardim Peri, São Paulo Zona Norte, São Paulo",2.430,49.0,2.0
norte,"Rua Visconde De Parnaíba, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.700,62.0,2.0
norte,"Rua Bela Vista Do Paraíso, Vila Palmeiras, São Paulo Zona Norte, São Paulo",1.500,75.0,2.0
norte,"Avenida Vereador Ângelo Bortolo, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",2.200,95.0,3.0
norte,"Rua Moreira, Vila Romero, São Paulo Zona Norte, São Paulo",950,25.0,1.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.400,20.0,1.0
norte,"Santana, São Paulo Zona Norte, São Paulo",5.000,260.0,4.0
norte,"Rua Abaíbas, Vila Palmeiras, São Paulo Zona Norte, São Paulo",750,40.0,1.0
norte,"Rua Joaquim Afonso De Souza, Vila Celeste, São Paulo Zona Norte, São Paulo",730,25.0,1.0
norte,"Rua Professor Dorival Dias Minhoto, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3.500,96.0,3.0
norte,"Nobrega De Souza Coutinho 05, Jardim Peri, São Paulo Zona Norte, São Paulo",600,70.0,1.0
norte,"Rua José Eduardo Raduan 5, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.299,80.0,2.0
norte,"Rua Campo Belo Do Sul 113, Parque Vitória, São Paulo Zona Norte, São Paulo",1.000,50.0,1.0
norte,"Narita, Jardim Japão, São Paulo Zona Norte, São Paulo",1.300,56.0,2.0
norte,"João Miranda De Moura 22, Tremembé, São Paulo Zona Norte, São Paulo",1.950,140.0,3.0
norte,"Rua João Ricardo 116, Jardim Peri, São Paulo Zona Norte, São Paulo",700,50.0,1.0
norte,"Presidente Jânio Da Silva Quadros, Jardim Japão, São Paulo Zona Norte, São Paulo",1.200,70.0,2.0
norte,"Brandão Agrões 176, Jardim Peri, São Paulo Zona Norte, São Paulo",799,50.0,1.0
norte,"Dr. José Gustavo Nunes 8, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",920,50.0,2.0
norte,"Rua Rodolfo Bardela 335, Brasilândia, São Paulo Zona Norte, São Paulo",590,30.0,1.0
norte,"Av. Nossa Senhora Do Loreto 237, Vila Medeiros, São Paulo Zona Norte, São Paulo",900,35.0,1.0
norte,"Rua Bruno Bertucci, Freguesia Do Ó, São Paulo Zona Norte, São Paulo",950,23.0,
norte,"Avenida Penha Brasil 2651, Vila Francos, São Paulo Zona Norte, São Paulo",1.000,47.0,2.0
norte,"Rua Nicolau Tolentino De Almeida 61, Vila Dionisia, São Paulo Zona Norte, São Paulo",1.000,45.0,2.0
norte,"Rua Carlos Escobar 282, Santana, São Paulo Zona Norte, São Paulo",800,10.0,1.0
norte,"Yedo, Vila Maria Alta, São Paulo Zona Norte, São Paulo",1.700,65.0,2.0
norte,"General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.400,65.0,2.0
norte,"Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.500,54.0,2.0
norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",750,28.0,
norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.000,45.0,2.0
norte,"Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",2.200,110.0,2.0
norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",900,35.0,1.0
norte,"Rua Lavinio Salles Arcuri,
                613, Casa Verde Alta, São Paulo Zona Norte, São Paulo",2.100,80.0,3.0
norte,"Avenida Professor Celestino Bourroul,
                425, Limão, São Paulo Zona Norte, São Paulo",14.000,525.0,
norte,"Soldado José Rufino Costa, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",10.000,600.0,
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",7.800,100.0,
norte,"Rua Alfredo Pujol,
                408, Santana, São Paulo Zona Norte, São Paulo",3.000,70.0,3.0
norte,"Rua Reims, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",75.000,2700.0,
norte,"Sob Consulta, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.800,45.0,2.0
norte,"Jardim Peri, São Paulo Zona Norte, São Paulo",21.000,950.0,
norte,"Sob Consulta, Imirim, São Paulo Zona Norte, São Paulo",16.000,640.0,
norte,"Capitão Francisco Lipi, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",1.600,67.0,2.0
norte,"Lucerna, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.800,70.0,2.0
norte,"Das Cerejeiras, Jardim Japão, São Paulo Zona Norte, São Paulo",3.685,150.0,
norte,"Rua Manoel Martins Da Rocha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.000,50.0,2.0
norte,"Avenida Água Fria, Água Fria, São Paulo Zona Norte, São Paulo",1.690,92.0,3.0
norte,"Rua Outeiro Da Cruz, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.400,61.0,2.0
norte,"Rua José De Figueiredo Seixas, Imirim, São Paulo Zona Norte, São Paulo",1.400,50.0,2.0
